Nombre del archivo,Cantidad de palabras
468-VI-00001.txt,5143
468-VI-00002.txt,8875
469-VI-00014.txt,8332
474-PR-00214.txt,6146
474-PR-00420.txt,15158
477-PR-03378.txt,16067
478-VI-00001.txt,8089
483-PR-00222.txt,7753
488-VI-00001.txt,18138
511-PR-00268.txt,14639
511-VI-00002.txt,8022
511-VI-00012.txt,8602
511-VI-00015.txt,10745
511-VI-00021.txt,9583
514-VI-00011.txt,12934
520-VI-00001.txt,14945
520-VI-00007.txt,22386
532-VI-00033.txt,3060
541-VI-00016.txt,13225
548-VI-00003.txt,17458
554-VI-00011.txt,4684
562-VI-00013.txt,19521
562-VI-00024.txt,30628
575-VI-00001.txt,8961
575-VI-00002.txt,14011
577-VI-00003.txt,5586
577-VI-00008.txt,16199
579-VI-00003.txt,14739
582-VI-00002.txt,6132
582-VI-00003.txt,9833
582-VI-00004.txt,12211
582-VI-00010.txt,11927
582-VI-00028.txt,12615
582-VI-00029.txt,6325
582-VI-00030.txt,5716
582-VI-00036.txt,16477
582-VI-00049.txt,6713
588-VI-00001.txt,17967
588-VI-00003.txt,29749
591-VI-00002.txt,15191
591-VI-00006.txt,8049
593-PR-02190.txt,25764
593-PR-02241.txt,25764
600-VI-00015.txt,11097
603-VI-00005.txt,4066
603-VI-00020.txt,7841
604-VI-00007.txt,23886
608-PR-00529.txt,50361
608-PR-00541.txt,25464
616-VI-00002.txt,19727
620-VI-00002.txt,16305
627-VI-00002.txt,17644
627-VI-00004.txt,4887
628-VI-00014.txt,9582
628-VI-00015.txt,3964
628-VI-00016.txt,9451
631-VI-00029.txt,20584
632-PR-00450.txt,13642
632-PR-00625.txt,13435
633-VI-00003.txt,4939
644-VI-00006.txt,9811
644-VI-00010.txt,10420
645-VI-00013.txt,6164
646-VI-00012.txt,12869
656-VI-00002.txt,9561
658-PR-00505.txt,9230
658-PR-00734.txt,14000
658-PR-02033.txt,6934
665-VI-00002.txt,10240
665-VI-00009.txt,10377
665-VI-00011.txt,21160
667-PR-00517.txt,13927
667-PR-02077.txt,23686
667-VI-00005.txt,5475
667-VI-00006.txt,7949
671-PR-00938.txt,83893
671-PR-02282.txt,30505
674-VI-00008.txt,14372
679-PR-00444.txt,13092
679-PR-00445.txt,12122
679-PR-00446.txt,13204
679-PR-00760.txt,11364
686-VI-00001.txt,11980
686-VI-00003.txt,8730
686-VI-00004.txt,5950
686-VI-00007.txt,9000
686-VI-00008.txt,13709
686-VI-00009.txt,11225
688-VI-00005.txt,11993
688-VI-00011.txt,5717
703-VI-00003.txt,1622
743-PR-00949.txt,6228
744-PR-02810.txt,15219
752-VI-00016.txt,12338
758-PR-00992.txt,16657
758-VI-00001.txt,11610
763-VI-00002.txt,13365
766-PR-02542.txt,9370
766-VI-00004.txt,13667
780-PR-00826.txt,20397
794-VI-00004.txt,13960
812-VI-00005.txt,2409
815-VI-00001.txt,9649
831-VI-00003.txt,9649
831-VI-00016.txt,9649
831-VI-00017.txt,9649
831-VI-00025.txt,9649
837-VI-00003.txt,9649
843-PR-00918.txt,9649
848-VI-00003.txt,9649
851-VI-00001.txt,9649
881-PR-02982.txt,9649
910-PR-02093.txt,9649
914-PR-00924.txt,9649
920-VI-00012.txt,9649
943-VI-00001.txt,9649
961-VI-00004.txt,9649
978-VI-00001.txt,9649
978-VI-00002.txt,9649
